title	requisitions
Front-End Engineer II, Amplify Console	1
Front-End Engineer, AWS Partner Registration & Onboarding	1
Full-Time Software Development Engineer, São Paulo	1
Head of Creator Technologies	1
Integrated Systems Engineer (Payload SW), STAR (System Test Automation and Regression)	1
Jr. Software Develoment Engineer, Jr. Developer Program	1
Jr. Software Development Engineer - San Luis Obispo, CA, Jr. Developer Program	1
Junior Embedded Software Engineer, Graviton	1
Lead ISP Algorithm Developer, Camera and Imaging	1
Lead Software Development Engineer	1
Lead Software Development Engineer, Consumer Domains	1
Lead Software Development Engineer, Marketing Content Management System	1
Lead Software Engineer, ML Network Stack - Annapurna Labs	1
MAC Automation & Analytics Engineer, Leo MAC	1
ML Accelerator Performance Validation Engineer, Post Silicon Validation	1
ML Compiler Engineer, Annapurna Labs	1
ML Infrastructure Engineer, Fauna	1
ML Systems Software Development Engineer Intern, Annapurna Labs - 2027	1
Machine Learning Engineer , Amazon Customer Service	1
Machine Learning Engineer II, EU INTech - Exports, Emerging and Expansions	1
Machine Learning Engineer, Amazon Ads Identity	1
Manager III, Software Dev, TITANS	1
Manager III, Software Development	1
Manager III, Software Development, AWS Elastic Container Service	1
Manager III, Software Development, AWS Security	1
Manager III, Software Development, Leo Secure Communications Team	1
Manager III, Software Development, Perception Software, Perception, Vehicle Software	1
Manager III, Software Development, Trust CX Innovations	1
Manager III, Software Development, Verification Team Lead	1
Manager, Data Engineering, Selling Partner Insights and Analytics	1
Manager, SW Development, WW Speed & AI	1
Manager, Search Capacity, Amazon Search	1
Manager, Software Development	1
Manager, Software Development, AWS In-Memory Databases	1
Manager, Software Development, ML Network Stack - Annapurna Labs	1
Manipulation Robotics Embedded SDE	1
Member of Technical Staff - Data Platform Engineer, Frontier AI Robotics	1
Member of Technical Staff - Infrastructure Engineer, Frontier AI & Robotics (FAR)	1
Member of Technical Staff - Research Engineer, Frontier AI Robotics	1
Member of Technical Staff - Robotics, Frontier AI Robotics	1
Member of Technical Staff - Simulation (Synthetic Data Generation), Frontier AI & Robotics (FAR)	1
Member of Technical Staff, Bee	1
Network Dev Engineer I(Security), Corporate Network Engineering	1
Network Dev Engineer II, ONE Access Engineering (LAN)	1
Network Development Engineer, Corporate Network Engineering - Core	1
Network Development Manager, Building Connectivity Engineering	1
Neuron Collectives Software Engineer, Trainium Collectives	1
Optical Network Engineer, Border Network Engineering	1
PD Engineer, Annapurna Labs	1
PD Methodology Engineer II, Annapurna Labs	1
